jasc_code,title,ata_chapter,ata_chapter_title,definition,system_level,wiring_code,single_engine_piston,multi_engine_piston,turboprop,business_jet_transport_jet,rotorcraft,notes,source,source_last_updated,source_url
2810,Fuel Storage,28,Fuel,"The portion of the fuel system used for the storage of fuel. Does not include defects in the wing primary structure of integral tanks. Typical parts are removable metal tank, tip tank, header tank, bladder fuel cell, tank interconnect lines, vent line, vent valve, drain valve, filler cap, filler neck, check valve, vent tube, cap seal, filler adapter, outlet fitting, screen, fueling panel, tank strap, sealant, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2820,Aircraft Fuel Distribution System,28,Fuel,"The portion of the aircraft fuel system other than selector valves, transfer valves, electric motor driven pumps used to distribute fuel from the tank outlet to the powerplant quick disconnect or up to the strainer unit. Includes the engine primer equipment, the switch that senses failure of a system pump, and the switch that automatically activates the boost pump. Typical parts are line, fitting, primer, nozzle, primer pump, actuating linkage for the fuel selector/shutoff valve, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2821,Aircraft Fuel Filter/Strainer,28,Fuel,"The component that filters unmetered fuel upstream of the engine fuel control/carburetor. Does not include the engine fuel metered control system filters (filed in JASC code 7300). Typical parts are screen, housing, bowl, gasket, plunger, stand pipe, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2822,Fuel Boost Pump,28,Fuel,"The electric motor/engine driven pumps providing fuel under pressure to the engine fuel control/carburetor for starting and emergency use. Includes parts of the pump, associated motor, and electrical circuitry/switch. Does not include pressure switch indicating system. Typical parts are housing, seal, motor, brush, bearing, connector, and fuel transfer pump, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2823,Fuel Selector/Shut-Off Valve,28,Fuel,"The component and associated controls and position indication units which provides for specific tank selection or shutting off flow to the engine. Typical parts are housing, rotor, handle, guard, seat, seal, selector valve, shutoff valve, spring, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2824,Fuel Transfer Valve,28,Fuel,"The component and associated control linkage which provides for the transfer of fuel between tanks for crossfeeding to alternate engine fuel systems. Typical parts are, seal, housing, rotor, handle, transfer valve, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2830,Fuel Dump System,28,Fuel,"The system and components that provide for the jettison of fuel overboard during flight. Typical parts are valve, switch, dump chute, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2840,Fuel Indicating System,28,Fuel,"For general reports pertaining to the aircraft fuel indicating systems, but with no specific reference to the transmitter (tank unit) or indicator. Does not include engine fuel pressure reports, which are filed in JASC code 7332, or flow indication system in JASC code 7331. Typical parts are circuit breaker, connector, pressure switch, indicator lights, dripstick, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2841,Fuel Quantity Indicator,28,Fuel,"The indicator and low level warning system used to indicate the quantity of fuel in the tanks. Typical parts are indicator, lamp, bulb, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2842,Fuel Quantity Sensor,28,Fuel,"The tank unit which measures and transmits a quantity level signal to the cockpit indicator. Typical parts are transmitter, float switch, probe, sensor, totalizer, tank unit float, gasket, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2843,Fuel Temperature Indicator,28,Fuel,The tank unit which measures the temperature of fuel in the tanks.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2844,Fuel Pressure Indicator,28,Fuel,"The tank unit which measures the pressure of fuel in the tanks. Typical parts are the pressure switch and indicator lights, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2897,Fuel System Wiring,28,Fuel,For reports indicating a problem with wiring specific to the Fuel System.,0,1,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2900,Hydraulic Power System,29,Hydraulic Power,"The units and components that furnish hydraulic fluid under pressure to a common point (manifold) for re-distribution to other defined systems. For miscellaneous system parts other than components listed under other specific JASC Chapter 29 codes. Also, for reports of units or parts common to two or more components.",1,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2910,"Hydraulic System, Main",29,Hydraulic Power,"The portion of the main system which is used to store and deliver hydraulic fluid to the using system. Includes all hydraulic systems other than those designated emergency or standby. Does not include the supply valves to the using systems. Typical parts are tanks, accumulators, valves, pumps, levers, cables, line, hose, relief, shutoff vales, check valves, wiring, switches, external connectors, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2911,"Hydraulic Power Accumulator, Main",29,Hydraulic Power,"The component that provides for pressure surges to maintain a constant pressure in the system. Typical parts are accumulator, seal, end cap, air valve, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2912,"Hydraulic Filter, Main",29,Hydraulic Power,"The component which filters sediment from the hydraulic fluid in the main system. Typical parts are seal, gasket, housing, element, packing, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2913,"Hydraulic Pump (Electric/Engine), Main",29,Hydraulic Power,"The component that provides hydraulic fluid pressure to using systems but does not include the using systems. Includes power packs incorporating integral pumps, electric motors, and solenoids used in certain light aircraft models. Also includes pumps such as those used in flight control systems on large aircraft. Typical parts are pump, motor, shaft, brush, solenoid, case, power pack, seal, switch, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2914,"Hydraulic Handpump, Main",29,Hydraulic Power,"The manually actuated pump for emergency system pressure. Typical parts are handle, lever, seal, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2915,"Hydraulic Pressure Relief Valve, Main",29,Hydraulic Power,"The unit which relieves system relief pressure at a preset pressure. Typical parts are seal, spring, housing, relief valve, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2916,"Hydraulic Reservoir, Main",29,Hydraulic Power,"The component which stores hydraulic fluid. Typical parts are reservoir, filler cap, filler neck, sight gauge, seal, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2917,"Hydraulic Pressure Regulator, Main",29,Hydraulic Power,"The unit that maintains a preset operating system pressure to the using systems. Typical parts are regulator, seal, case, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2920,"Hydraulic System, Auxiliary",29,Hydraulic Power,"The portion of the main system which is classified as auxiliary, emergency, or standby, and which is used to supplement or take the place of the main hydraulic fluid to the using system. Does not include the supply valves to the using systems. Typical parts are tank, accumulator, valve, pump, lever, cables, switch, plumbing, wiring, external connectors, and miscellaneous auxiliary system parts other than those listed in JASC codes 2921 through 2934.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2921,"Hydraulic Accumulator, Auxiliary",29,Hydraulic Power,"The component which provides for pressure surge to maintain a constant pressure in the auxiliary system. Typical parts are accumulator, seal, end cap and air valve, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2922,"Hydraulic Filter, Auxiliary",29,Hydraulic Power,"The component which filters sediment from the hydraulic fluid in the auxiliary system. Typical parts are seal, gasket, housing, element, and packing, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2923,"Hydraulic Pump, Auxiliary",29,Hydraulic Power,"The component which provides hydraulic fluid pressure to the using auxiliary system. Typical parts are pump, motor, shaft, brushes, case, seal, switches, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2925,"Hydraulic Pressure Relief, Auxiliary",29,Hydraulic Power,"The unit which relieves auxiliary system pressure. Typical parts are seal, spring, housing, relief valve, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2926,"Hydraulic Reservoir, Auxiliary",29,Hydraulic Power,"The unit which stores auxiliary hydraulic fluid. Typical parts are reservoir, filler cap, filler neck, sight gauge, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2927,"Hydraulic Pressure Regulator, Auxiliary",29,Hydraulic Power,"The unit that maintains a preset operating system pressure to the using auxiliary hydraulic system. Typical parts are regulator, seal, case, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2930,Hydraulic Indicating System,29,Hydraulic Power,For reports of hydraulic pressure and quantity indicating system parts other than the indicator or sensor or for parts common to both pressure and quantity systems.,0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2931,Hydraulic Pressure Indicator,29,Hydraulic Power,"The instrument and associated low pressure warning system that registers system pressure. Typical parts are indicator, warn lamp, bulb, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2932,Hydraulic Pressure Sensor,29,Hydraulic Power,"The components that sense system pressure and transmit a signal to the cockpit indicator or low pressure warning lamp. Typical parts are transmitter, pressure switch, sensor, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2933,Hydraulic Quantity Indicator,29,Hydraulic Power,"The instrument and associated low level warning system which registers reservoir fluid quantity. Typical parts are indicator, lamp, bulb, sight gage, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2934,Hydraulic Quantity Sensor,29,Hydraulic Power,"The components that sense the fluid level and low level warning and transmit a signal to the quantity indicator. Typical parts are transmitter, sensor, float switch, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
2997,Hydraulic Power System Wiring,29,Hydraulic Power,For reports indicating a problem with wiring specific to the Hydraulic Power System.,0,1,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3000,Ice/Rain Protection System,30,Ice and Rain Protection,The units and components which provide a means of preventing or disposing of formation of ice and rain on various parts of the aircraft. Includes miscellaneous items with insufficient information to file in a specific JASC 3000 series code. Does not include the basic windshield panel.,1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3010,Airfoil Anti/De-ice System,30,Ice and Rain Protection,"The system components and parts including the boots, which provide for wing and empennage leading edge ice prevention or removal. Does not include ducts upstream of the airfoil control/selector valves. Typical parts are timer, valve, switch, hose, flow valve, duct, duct coupling, thermostat, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3020,Air Intake Anti/De-Ice System,30,Ice and Rain Protection,The system and components that eliminate or prevent the formation of ice in or around air intakes such as turbine engine cowling. Does not include engine anti-icing reports filed in JASC code 7510. Includes the electrically heated boot at the air intake lips.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3030,Pitot/Static Anti-Ice System,30,Ice and Rain Protection,"The heating elements in the pitot-static pick up heads to eliminate or prevent the formation of ice. Does not include defects with the pitot or static systems. Typical parts are element, switch, wiring, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3040,Windshield/Door Rain/Ice Removal,30,Ice and Rain Protection,"The system and components which is used to clear, eliminate or prevent the formation of rain, ice or Typical parts are motor, actuator, wiper blade, hydraulic converter, shaft, line, switch, the electrical heating portion of heated glass panels, control units, alcohol deice system lines, tanks, pumps, valves, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3050,Antenna/Radome Anti-Ice/De-Ice System,30,Ice and Rain Protection,The system which is used to eliminate or prevent the formation of ice on antennas and radomes.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3060,Propeller/Rotor Anti-Ice/De-Ice System,30,Ice and Rain Protection,"The system components and parts which are used to eliminate or prevent the formation of ice on propellers and rotors. Includes electrically heated systems, and alcohol spray systems. Does not include the system parts on the rotating portion of the propeller which are filed in JASC code 6112 or the heating mats on the rotating portion of the rotor in JASC code 6210 or code 6410. Typical parts are brush block, timer, switch, relay, harness, terminal block, etc.",0,0,0,0,0,0,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3070,Water Line Anti-Ice System,30,Ice and Rain Protection,The system that is used for prevention of ice in water supply and drain lines.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3080,Ice Detection,30,Ice and Rain Protection,"The system which is used to detect and indicate the formation of ice. Typical parts are panel, detector, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3097,Ice/Rain Protection System Wiring,30,Ice and Rain Protection,For reports indicating a problem with wiring specific to the Ice/Rain Protection System.,0,1,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3100,Indicating/Recording System,31,Instruments,"The pictorial coverage of all instrument panels and controls. Procedural coverage of those systems, which give visual or aural warning of conditions in systems which record, store, or compute data from unrelated systems. Includes the system or units which integrate indicating instruments into a central display system not related to any specific system.",1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3110,Instrument Panel,31,Instruments,The removable cockpit instrument and control panels. Includes the mounting hardware and shock absorbing devices.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3120,Independent Instruments,31,Instruments,"The units which measures time, logs elapsed time of operation, or measures acceleration/deceleration forces. Typical parts are hour meter, pressure switch, line, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3130,Data Recorders (Flight/Maintenance),31,Instruments,"The unit which continuously records critical flight, aircraft and powerplant system data, such as attitude, air speed, altitude, engine power, etc., to be used in the event of a crash. Includes the system and parts that provide a source of power and inputs, from various sources critical to flight, to flight data recorder. Typical parts are spool rod, magazine, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3140,Central Computers,31,Instruments,"The systems and components used for computing data from a number of different sources without a preponderance of functions in any one system, for call up on a display. Includes integrated instrument systems such as engine, airplane power and central warning indicators when combined into a central display. Typical parts are ""digital core avionic system"" (DCAS), ""engine indications and crew alerting system"" (EICAS), stored checklist, emergency procedures, company regulations, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3150,Central Warning,31,Instruments,"The panels and associated circuitry which warn of potential problems in two or more independent or related systems. Warnings can be either audible or visual. Typical parts are annunciator panel, relay, lamp, PC board, diode, throttle microswitch, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3160,Central Display,31,Instruments,The systems and components which give visual display of conditions in unrelated systems.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3170,Automatic Data,31,Instruments,"The systems and components used for collating and computing data from unrelated systems and transmitting the same automatically. Includes ""aircraft to satellite data relay"" (ASDAR) system and components.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3197,Instrument System Wiring,31,Instruments,For reports indicating a problem with wiring specific to the Instrument Systems.,0,1,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3200,Landing Gear System,32,Landing Gear,"The units and components which furnish a means of supporting and steering the aircraft on the ground or water, and make it possible to retract and store the landing gear in flight. Includes the functioning and maintenance aspects of the landing gear doors, but does not include the door structure, which is covered in JASC Chapter 52. Use this code for general landing gear reports with insufficient information for filing in a more specific JASC 3200 series code.",1,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3201,Landing Gear/Wheel Fairing,32,Landing Gear,"The wheel fairings and attaching parts. Typical parts are bracket, fender, fairing, etc. The fairing location such as ""nose wheel"" should be shown in the ""Part Location"" field.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3210,Main Landing Gear,32,Landing Gear,"The miscellaneous parts of the main landing gear system which cannot be directly associated with a specific main gear code, such as attachment, emergency flotation or strut, axle, truck, etc. This code is not to be used for the retraction/extension system or the doors. Landing gear location, left or right should be referenced in the ""Part Location"" field.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3211,Main Landing Gear Attach Section,32,Landing Gear,"The parts and assemblies, which attach the main landing gear to the airframe, structure. An entry in the ""Part Location"" field should include a reference to ""left or right"" gear. Typical parts are fitting, bolt, U- bolt, casting, supports, attaching hardware, etc.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3212,Emergency Flotation Section,32,Landing Gear,"The helicopter inflatable floats and attaching parts which permit emergency landings on water. The float make and model, as well as the aircraft make and model should be included in the report. Typical parts are float valve, hose, bracket, cylinder, etc.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3213,Main Landing Gear Strut/Axle/Truck,32,Landing Gear,"The main landing gear components and parts such as struts, axles, trucks which support the aircraft on the ground or water. Typical parts are shock device, torque link, beam and skid/shock device on rotorcraft.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3220,Nose/Tail Landing Gear,32,Landing Gear,"The miscellaneous parts of the nose or tail gear system which cannot be directly associated with a specific nose/tail gear code such as attachment, struts, axles, etc. This code is not to be used for extension/retraction mechanism, steering/dampening system, or doors.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3221,Nose/Tail Landing Gear Attach Section,32,Landing Gear,The parts and assemblies that attach the nose/tail gear to the airframe structure. Applicable to fixed or retractable type landing gear.,0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3222,Nose/Tail Landing Gear Strut/Axle,32,Landing Gear,"The nose gear component parts such as shock struts and axles, which support the aircraft on the ground. Torque links are included but steering/shimmy dampening systems and units are excluded.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3230,Landing Gear Retraction/Extension System,32,Landing Gear,"The miscellaneous parts of the retraction and extension systems other than actuators, and door actuating mechanism. Location, such as nose, right or left main should be referenced in the ""Part Location"" field unless the defective part is common to all locations. Typical parts are leveling cylinders, centering system, actuator brackets, bungees, emergency extension system parts, uplocks/downlocks, uplock/downlock actuator, drag braces, etc.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3231,Landing Gear Door Retract Section,32,Landing Gear,"The nose and main landing gear door actuating system parts other than the actuator. Excludes door structure and hinges, which are to be filed in JASC code 5280. Typical parts are bellcrank, rod, sequence valve, latch, lines, hoses, etc.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3232,Landing Gear Door Actuator,32,Landing Gear,"The actuating units that open and close the landing gear doors. Position on the aircraft (nose, left, or right main) should be shown in the ""Part Location"" field.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3233,Landing Gear Actuator,32,Landing Gear,"The actuating units which retract and extend the nose or main gear. This includes electric motors, hydraulic cylinders but not self-contained electric motor driven hydraulic pumps such as power packs, which are filed in JASC code 2913. Specify “main gear” or “nose gear” in the Location data field.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
